"GID_0","GID_1","NAME_0","NAME_1","TYPE_1","ENGTYPE_1"
"AFG","AFG.1_1","Afghanistan","Badakhshan","Velayat","Province"
"AFG","AFG.2_1","Afghanistan","Badghis","Velayat","Province"
"AFG","AFG.3_1","Afghanistan","Baghlan","Velayat","Province"
"AFG","AFG.4_1","Afghanistan","Balkh","Velayat","Province"
"AFG","AFG.5_1","Afghanistan","Bamyan","Velayat","Province"
"AFG","AFG.6_1","Afghanistan","Daykundi","Velayat","Province"
"AFG","AFG.7_1","Afghanistan","Farah","Velayat","Province"
"AFG","AFG.8_1","Afghanistan","Faryab","Velayat","Province"
"AFG","AFG.9_1","Afghanistan","Ghazni","Velayat","Province"
"AFG","AFG.10_1","Afghanistan","Ghor","Velayat","Province"
"AFG","AFG.11_1","Afghanistan","Hilmand","Velayat","Province"
"AFG","AFG.12_1","Afghanistan","Hirat","Velayat","Province"
"AFG","AFG.13_1","Afghanistan","Jawzjan","Velayat","Province"
"AFG","AFG.14_1","Afghanistan","Kabul","Velayat","Province"
"AFG","AFG.15_1","Afghanistan","Kandahar","Velayat","Province"
"AFG","AFG.16_1","Afghanistan","Kapisa","Velayat","Province"
"AFG","AFG.17_1","Afghanistan","Khost","Velayat","Province"
"AFG","AFG.18_1","Afghanistan","Kunar","Velayat","Province"
"AFG","AFG.19_1","Afghanistan","Kunduz","Velayat","Province"
"AFG","AFG.20_1","Afghanistan","Laghman","Velayat","Province"
"AFG","AFG.21_1","Afghanistan","Logar","Velayat","Province"
"AFG","AFG.22_1","Afghanistan","Nangarhar","Velayat","Province"
"AFG","AFG.23_1","Afghanistan","Nimroz","Velayat","Province"
"AFG","AFG.24_1","Afghanistan","Nuristan","Velayat","Province"
"AFG","AFG.25_1","Afghanistan","Paktika","Velayat","Province"
"AFG","AFG.26_1","Afghanistan","Paktya","Velayat","Province"
"AFG","AFG.27_1","Afghanistan","Panjshir","Velayat","Province"
"AFG","AFG.28_1","Afghanistan","Parwan","Velayat","Province"
"AFG","AFG.29_1","Afghanistan","Samangan","Velayat","Province"
"AFG","AFG.30_1","Afghanistan","Sari Pul","Velayat","Province"
"AFG","AFG.31_1","Afghanistan","Takhar","Velayat","Province"
"AFG","AFG.32_1","Afghanistan","Uruzgan","Velayat","Province"
"AFG","AFG.33_1","Afghanistan","Wardak","Velayat","Province"
"AFG","AFG.34_1","Afghanistan","Zabul","Velayat","Province"
"AGO","AGO.1_1","Angola","Bengo","Província","Province"
